date,bottleID,vessel,pH_pico,temp,treatment,content,species,salinity
8/18/25,13600,sump_sw,7.904,27.5,a,,pstr,35.5
8/18/25,13601,batch_b,8.109,26.5,b,,pstr,35.5
8/18/25,13602,batch_c,8.235,26.5,c,,pstr,35.5
8/18/25,13603,sump_esw,8.32,26.6,d,,pstr,35.5
8/20/25,13604,sump_sw,7.779145282,26.7,a,,ofav,35.5
8/20/25,13605,batch_b,7.941057426,25.6,b,,ofav,35.5
8/20/25,13606,batch_c,8.023407649,25.8,c,,ofav,35.5
8/20/25,13607,sump_esw,8.034037959,27.6,d,,ofav,35.5
8/21/25,13608,sump_sw,,28.3,a,,,35.5
8/21/25,13609,sump_esw,,27.8,d,,,35.5
8/21/25,13610,9,,,a,,,35.5
8/21/25,13611,4,,26,a,,,35.5
8/21/25,13612,1,,27.3,b,,,35.5
8/23/25,13613,25,7.95,26.9,c,,,35.5
8/23/25,13614,14,8.023,27.3,d,,,35.5
8/28/25,13615,sump_sw,7.969987514,26.8,source_a,,,37.8
8/28/25,13616,sump_esw,7.995707779,27.6,source_d,,,38.4
8/28/25,13617,3,7.831124751,28,a,coral,ofav,
8/28/25,13618,4,7.83019816,28.1,a,blank,,
8/28/25,13619,8,7.881116522,28.2,b,coral,pstr,
8/28/25,13620,12,7.848600645,28.1,b,coral,ofav,
8/28/25,13621,17,7.86198427,28.1,a,coral,pstr,
8/28/25,13622,19,7.821833395,28.1,a,coral,ofav,
8/28/25,13623,21,7.83019816,28.1,a,coral,ofav,
8/28/25,13624,1,7.790047285,28.1,b,blank,,
8/28/25,13625,2,7.843581785,28.1,b,coral,ofav,
8/28/25,13626,7,7.854358155,28.2,b,coral,pstr,
8/28/25,13627,9,7.853619504,28.1,a,coral,pstr,
8/28/25,13628,13,7.83019816,28.1,a,coral,pstr,
8/28/25,13629,16,7.870349035,28.1,b,coral,ofav,
8/28/25,13630,28,7.823506348,28.1,b,coral,pstr,
8/28/25,13631,5,7.849340961,28.2,c,coral,ofav,
8/28/25,13632,6,7.877771726,28.2,c,coral,ofav,
8/28/25,13633,11,7.887806114,28.2,c,coral,pstr,
8/28/25,13634,18,7.873694942,28.1,c,coral,ofav,
8/28/25,13635,22,7.875367895,28.1,c,coral,pstr,
8/28/25,13636,23,7.895443332,28.1,c,coral,pstr,
8/28/25,13637,25,7.880386754,28.1,c,blank,,
8/28/25,13638,10,7.903808098,28.1,d,coral,ofav,
8/28/25,13639,14,7.887078567,28.1,d,blank,,
8/28/25,13640,15,7.93726716,28.1,d,coral,pstr,
8/28/25,13641,20,7.893770379,28.1,d,coral,pstr,
8/28/25,13642,24,7.913845817,28.1,d,coral,ofav,
8/28/25,13643,26,7.91551877,28.1,d,coral,pstr,
8/28/25,13644,27,7.923883535,28.1,d,coral,ofav,
9/1/25,13645,sump_sw,7.983135039,27.3,source_a,,,36.5
9/1/25,13646,sump_esw,8.000998948,27.7,source_d,,,36.7
9/1/25,13647,4,7.879229915,28,a,blank,na,38.3
9/1/25,13648,9,7.932782191,28,a,coral,pstr,38.9
9/1/25,13649,13,7.889270967,28,a,coral,pstr,38.4
9/1/25,13650,17,7.9017087,28.1,a,coral,pstr,39.1
9/1/25,13651,1,7.948809746,27.9,b,blank,na,39.1
9/1/25,13652,2,7.924414648,28,b,coral,ofav,38.7
9/1/25,13653,7,7.921784137,28.1,b,coral,pstr,39
9/1/25,13654,8,7.968626825,28.1,b,coral,pstr,38.8
9/1/25,13655,28,7.901935939,27.9,b,coral,pstr,38.7
9/1/25,13656,5,7.93541723,27.9,c,coral,ofav,38.3
9/1/25,13657,11,7.958854133,27.9,c,coral,pstr,38.9
9/1/25,13658,18,7.949517278,28,c,coral,ofav,39.1
9/1/25,13659,22,7.969599382,28,c,coral,pstr,39.4
9/1/25,13660,23,7.979640434,28,c,coral,pstr,38.7
9/1/25,13661,25,7.981313942,28,c,blank,na,39.1
9/1/25,13662,14,7.957180069,27.9,d,blank,na,38.7
9/1/25,13663,15,8.023151658,28,d,coral,pstr,38.7
9/1/25,13664,20,7.989681485,28,d,coral,pstr,38.5
9/1/25,13665,26,8.016457624,28,d,coral,pstr,38.8
