AEB rev09-26-25,flst,Sample_ID,Date,ID,Final_TA,TA _STD,,,,,
,13600_Set,13600_SettTrial_rnd1 a_titr8_20250910-162912.csv,2025-09-10 16:19:05 UTC-5,-19864478:193f4b89b71:16a4,2434.06204,0,,,,,
,13600_Set,13600_SettTrial_rnd1 b_titr8_20250910-163932.csv,2025-09-10 16:29:12 UTC-5,-19864478:193f4b89b71:16b3,2434.580441,0.5,,,,,
,13601_Set,13601_SettTrial_rnd1 a_titr8_20250910-165057.csv,2025-09-10 16:39:32 UTC-5,-19864478:193f4b89b71:16c2,2760.112413,0,,,,,
,13601_Set,13601_SettTrial_rnd1 b_titr8_20250910-170227.csv,2025-09-10 16:50:58 UTC-5,-19864478:193f4b89b71:16d1,2763.183486,3.1,,,,,
,13602_Set,13602_SettTrial_rnd1 a_titr8_20250910-171451.csv,2025-09-10 17:02:28 UTC-5,-19864478:193f4b89b71:16e0,3093.536493,0.0,,,,,
,13602_Set,13602_SettTrial_rnd1 b_titr8_20250910-172716.csv,2025-09-10 17:14:52 UTC-5,-19864478:193f4b89b71:16ef,3090.758963,2.8,,,,,
,13603_Set,13603_SettTrial_rnd1 a_titr8_20250910-174020.csv,2025-09-10 17:27:17 UTC-5,-19864478:193f4b89b71:16fe,3422.215986,0.0,,,,,
,13603_Set,13603_SettTrial_rnd1 b_titr8_20250910-175343.csv,2025-09-10 17:40:21 UTC-5,-19864478:193f4b89b71:170d,3419.869163,2.3,,,,,
,13604_Set,13604_SettTrial_rnd1 a_titr8_20250910-180432.csv,2025-09-10 17:53:44 UTC-5,-19864478:193f4b89b71:171c,2595.109016,0.0,,,,,
,13604_Set,13604_SettTrial_rnd1 b_titr8_20250910-181519.csv,2025-09-10 18:04:33 UTC-5,-19864478:193f4b89b71:172b,2598.11936,3.0,,,,,
,13605_Set,13605_SettTrial_rnd1 a_titr8_20250910-182703.csv,2025-09-10 18:15:20 UTC-5,-19864478:193f4b89b71:173a,2874.73647,0.0,,,,,
